IDX_YMD,IDX_AMT
2018-04-23,1306
2018-04-24,1330
2018-04-25,1376
2018-04-26,1375
2018-04-27,1361
2018-04-30,1341
2018-05-01,1327
2018-05-02,1346
2018-05-03,1376
2018-05-04,1384
2018-05-08,1432
2018-05-09,1465
2018-05-10,1453
2018-05-11,1472
2018-05-14,1476
2018-05-15,1468
2018-05-16,1403
2018-05-17,1305
2018-05-18,1273
2018-05-21,1239
2018-05-22,1199
2018-05-23,1162
2018-05-24,1109
2018-05-25,1077
2018-05-29,1057
2018-05-30,1042
2018-05-31,1090
2018-06-01,1156
2018-06-04,1193
2018-06-05,1249
2018-06-06,1340
2018-06-07,1395
2018-06-08,1391
2018-06-11,1387
2018-06-12,1390
2018-06-13,1404
2018-06-14,1433
2018-06-15,1445
2018-06-18,1442
2018-06-19,1419
2018-06-20,1373
2018-06-21,1347
2018-06-22,1341
2018-06-25,1333
2018-06-26,1323
2018-06-27,1309
2018-06-28,1329
2018-06-29,1385
2018-07-02,1422
2018-07-03,1476
2018-07-04,1567
2018-07-05,1612
2018-07-06,1622
2018-07-09,1609
2018-07-10,1555
2018-07-11,1586
2018-07-12,1632
2018-07-13,1666
2018-07-16,1695
2018-07-17,1721
2018-07-18,1688
2018-07-19,1657
2018-07-20,1689
2018-07-23,1718
2018-07-24,1774
2018-07-25,1772
2018-07-26,1708
2018-07-27,1676
2018-07-30,1703
2018-07-31,1747
2018-08-01,1760
2018-08-02,1756
2018-08-03,1773
2018-08-06,1773
2018-08-07,1732
2018-08-08,1704
2018-08-09,1694
2018-08-10,1691
2018-08-13,1709
2018-08-14,1725
2018-08-15,1727
2018-08-16,1720
2018-08-17,1723
2018-08-20,1727
2018-08-21,1736
2018-08-22,1735
2018-08-23,1709
2018-08-24,1697
2018-08-28,1684
2018-08-29,1661
2018-08-30,1614
2018-08-31,1579
2018-09-03,1557
2018-09-04,1513
2018-09-05,1477
2018-09-06,1484
2018-09-07,1490
2018-09-10,1482
2018-09-11,1439
2018-09-12,1411
2018-09-13,1382
2018-09-14,1366
2018-09-17,1357
2018-09-18,1356
2018-09-19,1373
2018-09-20,1396
2018-09-21,1413
2018-09-24,1434
2018-09-25,1450
2018-09-26,1503
2018-09-27,1524
2018-09-28,1540
2018-10-01,1555
2018-10-02,1570
2018-10-03,1574
2018-10-04,1554
2018-10-05,1536
2018-10-08,1530
2018-10-09,1503
2018-10-10,1493
2018-10-11,1515
2018-10-12,1579
2018-10-15,1584
2018-10-16,1578
2018-10-17,1554
2018-10-18,1565
2018-10-19,1576
2018-10-22,1579
2018-10-23,1577
2018-10-24,1546
2018-10-25,1516
2018-10-26,1519
2018-10-29,1522
2018-10-30,1513
2018-10-31,1490
2018-11-01,1470
2018-11-02,1457
2018-11-05,1428
2018-11-06,1395
2018-11-07,1304
2018-11-08,1231
2018-11-09,1147
2018-11-12,1125
2018-11-13,1064
2018-11-14,1009
2018-11-15,1020
2018-11-16,1031
2018-11-19,1023
2018-11-20,1003
2018-11-21,1008
2018-11-22,1018
2018-11-23,1093
2018-11-26,1217
2018-11-27,1339
2018-11-28,1330
2018-11-29,1281
2018-11-30,1231
2018-12-03,1203
2018-12-04,1237
2018-12-05,1296
2018-12-06,1339
2018-12-07,1372
2018-12-10,1385
2018-12-11,1364
2018-12-12,1353
2018-12-13,1365
2018-12-14,1401
2018-12-17,1406
2018-12-18,1395
2018-12-19,1378
2018-12-20,1318
2018-12-21,1279
2018-12-24,1271
2019-01-02,1282
2019-01-03,1267
2019-01-04,1260
2019-01-07,1247
2019-01-08,1262
2019-01-09,1238
2019-01-10,1189
2019-01-11,1169
2019-01-14,1147
2019-01-15,1096
2019-01-16,1055
2019-01-17,1077
2019-01-18,1112
2019-01-21,1092
2019-01-22,1036
2019-01-23,982
2019-01-24,939
2019-01-25,905
2019-01-28,852
2019-01-29,797
2019-01-30,721
2019-01-31,668
2019-02-01,645
2019-02-04,643
2019-02-05,629
2019-02-06,629
2019-02-07,610
2019-02-08,601
2019-02-11,595
2019-02-12,598
2019-02-13,608
2019-02-14,628
2019-02-15,639
2019-02-18,643
2019-02-19,635
2019-02-20,622
2019-02-21,630
2019-02-22,634
2019-02-25,637
2019-02-26,649
2019-02-27,651
2019-02-28,658
2019-03-01,664
2019-03-04,669
2019-03-05,663
2019-03-06,664
2019-03-07,657
2019-03-08,649
2019-03-11,645
2019-03-12,647
2019-03-13,654
2019-03-14,677
2019-03-15,730
2019-03-18,721
2019-03-19,712
2019-03-20,709
2019-03-21,695
2019-03-22,690
2019-03-25,689
2019-03-26,683
2019-03-27,690
2019-03-28,692
2019-03-29,689
2019-04-01,685
2019-04-02,674
2019-04-03,672
2019-04-04,699
2019-04-05,711
2019-04-08,714
2019-04-09,725
2019-04-10,734
2019-04-11,728
2019-04-12,726
2019-04-15,738
2019-04-16,749
2019-04-17,767
2019-04-18,790
2019-04-23,821
2019-04-24,850
2019-04-25,869
2019-04-26,889
2019-04-29,913
2019-04-30,1011
2019-05-01,1031
2019-05-02,1032
2019-05-03,985
2019-05-07,936
2019-05-08,940
2019-05-09,974
2019-05-10,1013
2019-05-13,1026
2019-05-14,1043
2019-05-15,1032
2019-05-16,1032
2019-05-17,1040
2019-05-20,1041
2019-05-21,1049
2019-05-22,1059
2019-05-23,1068
2019-05-24,1066
2019-05-28,1082
2019-05-29,1107
2019-05-30,1097
2019-05-31,1096
2019-06-03,1103
2019-06-04,1122
2019-06-05,1141
2019-06-06,1138
2019-06-07,1138
2019-06-10,1125
2019-06-11,1105
2019-06-12,1080
2019-06-13,1062
2019-06-14,1085
2019-06-17,1093
2019-06-18,1135
2019-06-19,1179
2019-06-20,1194
2019-06-21,1239
2019-06-24,1258
2019-06-25,1280
2019-06-26,1317
2019-06-27,1340
2019-06-28,1354
2019-07-01,1381
2019-07-02,1446
2019-07-03,1549
2019-07-04,1700
2019-07-05,1740
2019-07-08,1725
2019-07-09,1759
2019-07-10,1777
2019-07-11,1816
2019-07-12,1865
2019-07-15,1928
2019-07-16,2011
2019-07-17,2064
2019-07-18,2130
2019-07-19,2170
2019-07-22,2191
2019-07-23,2165
2019-07-24,2014
2019-07-25,1947
2019-07-26,1937
2019-07-29,1922
2019-07-30,1899
2019-07-31,1868
2019-08-01,1812
2019-08-02,1788
2019-08-05,1774
2019-08-06,1734
2019-08-07,1712
2019-08-08,1720
2019-08-09,1748
2019-08-12,1774
2019-08-13,1864
2019-08-14,1950
2019-08-15,2047
2019-08-16,2088
2019-08-19,2067
2019-08-20,2059
2019-08-21,2061
2019-08-22,2118
2019-08-23,2168
2019-08-27,2213
2019-08-28,2267
2019-08-29,2277
2019-08-30,2378
2019-09-02,2442
2019-09-03,2501
2019-09-04,2518
2019-09-05,2499
2019-09-06,2462
2019-09-09,2422
2019-09-10,2393
2019-09-11,2366
2019-09-12,2331
2019-09-13,2312
2019-09-16,2311
2019-09-17,2283
2019-09-18,2266
2019-09-19,2192
2019-09-20,2131
2019-09-23,2108
2019-09-24,2116
2019-09-25,2053
2019-09-26,1963
2019-09-27,1857
2019-09-30,1823
2019-10-01,1809
2019-10-02,1803
2019-10-03,1757
2019-10-04,1767
2019-10-07,1770
2019-10-08,1801
2019-10-09,1873
2019-10-10,1929
2019-10-11,1924
2019-10-14,1916
2019-10-15,1898
2019-10-16,1897
2019-10-17,1861
2019-10-18,1855
2019-10-21,1846
2019-10-22,1806
2019-10-23,1779
2019-10-24,1785
2019-10-25,1801
2019-10-28,1803
2019-10-29,1802
2019-10-30,1782
2019-10-31,1731
2019-11-01,1697
2019-11-04,1675
2019-11-05,1656
2019-11-06,1533
2019-11-07,1428
2019-11-08,1378
2019-11-11,1345
2019-11-12,1354
2019-11-13,1365
2019-11-14,1364
2019-11-15,1357
2019-11-18,1338
2019-11-19,1304
2019-11-20,1260
2019-11-21,1255
2019-11-22,1284
2019-11-25,1351
2019-11-26,1426
2019-11-27,1440
2019-11-28,1467
2019-11-29,1528
2019-12-02,1568
2019-12-03,1606
2019-12-04,1599
2019-12-05,1575
2019-12-06,1558
2019-12-09,1551
2019-12-10,1528
2019-12-11,1460
2019-12-12,1388
2019-12-13,1355
2019-12-16,1315
2019-12-17,1281
2019-12-18,1221
2019-12-19,1151
2019-12-20,1123
2019-12-23,1103
2019-12-24,1090
2020-01-02,976
2020-01-03,907
2020-01-06,844
2020-01-07,791
2020-01-08,773
2020-01-09,772
2020-01-10,774
2020-01-13,765
2020-01-14,763
2020-01-15,768
2020-01-16,768
2020-01-17,754
2020-01-20,729
2020-01-21,689
2020-01-22,623
2020-01-23,576
2020-01-24,557
2020-01-27,546
2020-01-28,539
2020-01-29,525
2020-01-30,498
2020-01-31,487
2020-02-03,466
2020-02-04,453
2020-02-05,430
2020-02-06,431
2020-02-07,415
2020-02-10,411
2020-02-11,418
2020-02-12,421
2020-02-13,421
2020-02-14,425
2020-02-17,434
2020-02-18,450
2020-02-19,465
2020-02-20,480
2020-02-21,497
2020-02-24,506
2020-02-25,508
2020-02-26,517
2020-02-27,529
2020-02-28,535
2020-03-02,539
2020-03-03,549
2020-03-04,562
2020-03-05,599
2020-03-06,617
2020-03-09,616
2020-03-10,627
2020-03-11,631
2020-03-12,633
2020-03-13,631
2020-03-16,623
2020-03-17,612
2020-03-18,629
2020-03-19,630
2020-03-20,625
2020-03-23,617
2020-03-24,603
2020-03-25,582
2020-03-26,569
2020-03-27,556
2020-03-30,548
2020-03-31,626
2020-04-01,624
2020-04-02,624
2020-04-03,616
2020-04-06,604
2020-04-07,596
2020-04-08,607
2020-04-09,635
2020-04-14,679
2020-04-15,706
2020-04-16,726
2020-04-17,751
2020-04-20,757
2020-04-21,728
2020-04-22,694
2020-04-23,672
2020-04-24,665
2020-04-27,661
2020-04-28,655
2020-04-29,643
2020-04-30,635
2020-05-01,617
2020-05-04,598
2020-05-05,575
2020-05-06,534
2020-05-07,514
2020-05-11,474
2020-05-12,433
2020-05-13,398
2020-05-14,393
2020-05-15,407
2020-05-18,427
2020-05-19,453
2020-05-20,477
2020-05-21,494
2020-05-22,498
2020-05-26,506
2020-05-27,502
2020-05-28,489
2020-05-29,504
2020-06-01,520
2020-06-02,546
2020-06-03,592
2020-06-04,632
2020-06-05,679
2020-06-08,698
2020-06-09,714
2020-06-10,764
2020-06-11,839
2020-06-12,923
2020-06-15,973
2020-06-16,1054
2020-06-17,1246
2020-06-18,1527
2020-06-19,1555
2020-06-22,1558
2020-06-23,1617
2020-06-24,1705
2020-06-25,1738
2020-06-26,1749
2020-06-29,1794
2020-06-30,1799
2020-07-01,1803
2020-07-02,1823
2020-07-03,1894
2020-07-06,1956
2020-07-07,1949
2020-07-08,1849
2020-07-09,1810
2020-07-10,1810
2020-07-13,1792
2020-07-14,1742
2020-07-15,1696
2020-07-16,1699
2020-07-17,1710
2020-07-20,1678
2020-07-21,1594
2020-07-22,1473
2020-07-23,1388
2020-07-24,1317
2020-07-27,1293
2020-07-28,1264
2020-07-29,1317
2020-07-30,1348
2020-07-31,1350
2020-08-03,1385
2020-08-04,1463
2020-08-05,1475
2020-08-06,1500
2020-08-07,1501
2020-08-10,1506
2020-08-11,1510
2020-08-12,1540
2020-08-13,1577
2020-08-14,1595
2020-08-17,1598
2020-08-18,1586
2020-08-19,1568
2020-08-20,1518
2020-08-21,1481
2020-08-24,1491
2020-08-25,1518
2020-08-26,1509
2020-08-27,1504
2020-08-28,1488
2020-09-01,1471
2020-09-02,1445
2020-09-03,1395
2020-09-04,1362
2020-09-07,1349
2020-09-08,1328
2020-09-09,1296
2020-09-10,1269
2020-09-11,1267
2020-09-14,1282
2020-09-15,1289
2020-09-16,1281
2020-09-17,1294
2020-09-18,1296
2020-09-21,1314
2020-09-22,1364
2020-09-23,1426
2020-09-24,1605
2020-09-25,1667
2020-09-28,1654
2020-09-29,1658
2020-09-30,1725
2020-10-01,1869
2020-10-02,2020
2020-10-05,2071
2020-10-06,2097
2020-10-07,2044
2020-10-08,1970
2020-10-09,1892
2020-10-12,1807
2020-10-13,1732
2020-10-14,1637
2020-10-15,1561
2020-10-16,1477
2020-10-19,1409
2020-10-20,1350
2020-10-21,1346
2020-10-22,1401
2020-10-23,1415
2020-10-26,1402
2020-10-27,1413
2020-10-28,1384
2020-10-29,1297
2020-10-30,1283
2020-11-02,1284
2020-11-03,1263
2020-11-04,1224
2020-11-05,1194
2020-11-06,1196
2020-11-09,1207
2020-11-10,1200
